household lat long Strain wt90 wt120 wt150 wt180 country
EAM2047 11.4737533333333 36.86027 Koekoek 906 414.0625 1234.375 2054.6875 Ethiopia
EAM2048 11.4907833333333 36.8967716666667 Kuroiler 1094.80249480249 1642.1875 2174.13793103448 2962.93103448276 Ethiopia
EAM2049 11.49213 36.8987733333333 Koekoek 841.666666666667 1344.20903954802 1844 2256.75287356322 Ethiopia
EAM2050 11.488365 36.8977816666667 Koekoek 968.285714285714 1216.85714285714 1482.46031746032 2241.98412698413 Ethiopia
EAM2051 11.4814983333333 36.890295 Koekoek 780 1040 1300 2179.31034482759 Ethiopia
EAM2052 11.47706 36.8908233333333 Kuroiler 918.75 1207.66129032258 2175.90909090909 1627.04545454545 Ethiopia
EAM2054 11.4887283333333 36.90694 S-RIR  459.75975975976 253.584229390681 1628.78787878788 2310.60606060606 Ethiopia
EAM2056 11.488185 36.89955 Kuroiler 990.321637426901 1251.2962962963 1727.27272727273 2761.36363636364 Ethiopia
EAM2058 11.4884283333333 36.8965666666667 Kuroiler 914.434214434214 1368.14516129032 2142.04545454545 2270.83333333333 Ethiopia
EAM2059 11.48869 36.8829166666667 S-RIR  735.11396011396 1067.5 1641.25 1744.375 Ethiopia
EAM2061 11.4969833333333 36.869785 Kuroiler 1097.58771929825 956.122448979592 779.285714285714 2370.35714285714 Ethiopia
EAM2064 11.4919866666667 36.8987683333333 S-RIR  645.484449760766 1287.5 1859.09090909091 1245.45454545455 Ethiopia
EAM2065 11.5131566666667 36.8801583333333 S-RIR  536.160256410256 992.701878766395 1284.41558441558 1264.93506493506 Ethiopia
EAM2066 11.4950016666667 36.9076283333333 S-RIR  651.804511278195 980 926.136363636364 2818.18181818182 Ethiopia
EAM2067 11.4932933333333 36.8872233333333 S-RIR  735.855263157895 864.285714285714 736.079545454545 2263.77840909091 Ethiopia
EAM2071 11.4825983333333 36.8896833333333 Sasso 1568.18181818182 2185.34482758621 1991.37931034483 1797.41379310345 Ethiopia
EAM2072 11.4962133333333 36.8955383333333 Sasso 1460.04329004329 2045 2270 2495 Ethiopia
EAM2073 11.4812033333333 36.8546483333333 S-RIR  472.5 988.293650793651 1405.57795698925 1875.33602150538 Ethiopia
