household,lat,long,Strain,wt90,wt120,wt150,wt180,sex,country
EAA2087,9.01549666666667,38.66664,Horro,380,673.150962512665,952.786220871327,1325.64102564103,Female,Ethiopia
EAA2088,9.01791,38.6670133333333,Kuroiler,322.162554426705,-6953.84615384615,-1184.61538461538,1225,Female,Ethiopia
EAA2089,9.01469166666667,38.6666033333333,Koekoek,947.142857142857,990,2932,1781.25,Female,Ethiopia
EAA2089,9.01469166666667,38.6666033333333,Koekoek,916.785714285714,1227.5,1538.21428571429,1848.92857142857,Male,Ethiopia
EAA2090,9.01896833333333,38.665035,Kuroiler,343.933236574746,-2276.0989010989,-75.5494505494505,2125,Female,Ethiopia
EAA2091,9.01749333333333,38.6669066666667,Kuroiler,370.058055152395,-75.5799755799757,467.765567765568,1011.11111111111,Female,Ethiopia
EAA2092,9.01878666666667,38.6660283333333,S-RIR ,965.178571428571,1640.42553191489,1946.27659574468,2357.24637681159,Male,Ethiopia
EAA2092,9.01878666666667,38.6660283333333,S-RIR ,776.282051282051,1202.83687943262,1575.17730496454,2237.4358974359,Female,Ethiopia
EAA2093,9.01966166666667,38.6668383333333,Koekoek,1027.03296703297,1521.70212765957,1845.10638297872,2168.51063829787,Male,Ethiopia
EAA2093,9.01966166666667,38.6668383333333,Koekoek,930.769230769231,1261.70212765957,1485.10638297872,2102.5641025641,Female,Ethiopia
EAA2094,9.01621,38.66634,Kuroiler,294.640198511166,-6030.12820512821,-3026.92307692308,-23.7179487179487,Female,Ethiopia
EAA2095,9.01641333333333,38.6672383333333,S-RIR ,873.076923076923,1784.19452887538,1852.58358662614,1920.9726443769,Male,Ethiopia
EAA2095,9.01641333333333,38.6672383333333,S-RIR ,809.74358974359,1332.76595744681,1358.29787234043,2165.38461538462,Female,Ethiopia
EAA2096,9.01592,38.6672733333333,Koekoek,429.868938401049,804.807692307692,1088.33333333333,1450.83333333333,Male,Ethiopia
EAA2096,9.01592,38.6672733333333,Koekoek,418.073394495413,777.142857142857,974.025974025974,1012.98701298701,Female,Ethiopia
EAA2097,9.00973333333333,38.6653383333333,S-RIR ,1031.88405797101,1366.66666666667,1500,1842.89473684211,Female,Ethiopia
EAA2098,9.01625,38.6663383333333,Koekoek,700,1134.43223443223,1763.55311355311,2392.67399267399,Male,Ethiopia
EAA2098,9.01625,38.6663383333333,Koekoek,709.090909090909,995.714285714286,1374.28571428571,1618.57142857143,Female,Ethiopia
EAA2099,9.017215,38.6674366666667,Horro,616.666666666667,727.456940222898,849.03748733536,1314.52991452991,Female,Ethiopia
EAA2099,9.017215,38.6674366666667,Horro,790.178571428571,829.787234042553,989.36170212766,1311.11111111111,Male,Ethiopia
EAA2100,9.014865,38.66617,Koekoek,890.510204081633,1279.28571428571,1668.0612244898,2056.83673469388,Male,Ethiopia
EAA2100,9.014865,38.66617,Koekoek,962.244897959184,992.857142857143,1030.80357142857,1896.875,Female,Ethiopia
EAA2101,9.01845666666667,38.6663533333333,S-RIR ,965.873015873016,1644.44444444444,1977.77777777778,2311.11111111111,Male,Ethiopia
EAA2101,9.01845666666667,38.6663533333333,S-RIR ,790,1197.44680851064,1512.34042553191,2117.69230769231,Female,Ethiopia
EAA2102,9.01529333333333,38.666085,Koekoek,930.714285714286,995,1083.92857142857,1968.50649350649,Female,Ethiopia
EAA2102,9.01529333333333,38.666085,Koekoek,888.869047619048,1287.08333333333,1685.29761904762,2083.5119047619,Male,Ethiopia
EAA2103,9.01991166666667,38.6665533333333,S-RIR ,1041.86507936508,1489.58333333333,1833.33333333333,2177.08333333333,Male,Ethiopia
EAA2103,9.01991166666667,38.6665533333333,S-RIR ,799.773242630386,1203.48484848485,1330,2385.08771929825,Female,Ethiopia
EAA2104,9.01489333333333,38.6656366666667,Koekoek,930.714285714286,995,1010,1947.5,Female,Ethiopia
EAA2104,9.01489333333333,38.6656366666667,Koekoek,891.558441558441,1222.72727272727,1553.8961038961,1885.06493506494,Male,Ethiopia
EAA2105,9.01610166666667,38.665175,Kuroiler,267.096774193548,-7565,-3890,-215,Female,Ethiopia
EAA2106,9.019675,38.665825,Koekoek,618.181818181818,1005.71428571429,1373.57142857143,1615.71428571429,Female,Ethiopia
EAA2106,9.019675,38.665825,Koekoek,663.636363636364,1172.61904761905,1976.19047619048,2779.7619047619,Male,Ethiopia
EAA2107,9.018125,38.6670633333333,Horro,271.428571428571,621.739130434783,882.608695652174,2100,Female,Ethiopia
EAA2108,9.01773,38.667035,Koekoek,670,1148.4126984127,1892.46031746032,2636.50793650794,Male,Ethiopia
EAA2108,9.01773,38.667035,Koekoek,676.923076923077,1004.16666666667,1346.42857142857,1542.85714285714,Female,Ethiopia
EAA2109,9.01467,38.6659283333333,Koekoek,955.952380952381,991.666666666667,1115,1827.5,Female,Ethiopia
EAA2109,9.01467,38.6659283333333,Koekoek,884.285714285714,1270,1655.71428571429,2041.42857142857,Male,Ethiopia
EAA2110,9.01780166666667,38.6672983333333,S-RIR ,708.333333333333,1301.13636363636,2000,2698.86363636364,Male,Ethiopia
EAA2110,9.01780166666667,38.6672983333333,S-RIR ,744.444444444444,1235.22727272727,1525,2171.79487179487,Female,Ethiopia
EAA2111,9.01737,38.6671216666667,Kuroiler,296.037735849057,-7543.75,-1356.25,2008.33333333333,Female,Ethiopia
EAA2112,9.01762666666667,38.66715,Horro,272.761904761905,408.602150537634,1666.66666666667,2924.7311827957,Male,Ethiopia
EAA2112,9.01762666666667,38.66715,Horro,312.923076923077,364.700460829493,1020,1341.66666666667,Female,Ethiopia
EAA2113,9.016115,38.66704,Kuroiler,296.037735849057,-5442.85714285714,-871.428571428571,1840.90909090909,Female,Ethiopia
EAA2114,9.01727833333333,38.668855,Koekoek,733.333333333333,960.31746031746,1369.89795918367,1567.34693877551,Female,Ethiopia
EAA2114,9.01727833333333,38.668855,Koekoek,760,1133.24675324675,1803.37662337662,2473.50649350649,Male,Ethiopia
EAA2115,9.01785666666667,38.6669883333333,Kuroiler,337.204116638079,-1474.35064935065,100.324675324675,1675,Female,Ethiopia
EAA2116,9.014555,38.6658133333333,Koekoek,896.938775510204,1264.28571428571,1631.63265306122,1998.97959183673,Male,Ethiopia
EAA2116,9.014555,38.6658133333333,Koekoek,943.928571428571,997.5,1053.125,1787.94642857143,Female,Ethiopia
EAA2117,9.01622666666667,38.6678783333333,Koekoek,878.625541125541,1227.65151515152,1576.67748917749,1925.70346320346,Male,Ethiopia
EAA2117,9.01622666666667,38.6678783333333,Koekoek,946.103896103896,1004.54545454545,1044.31818181818,2396.15384615385,Female,Ethiopia
EAA2118,9.01970166666667,38.6668016666667,Horro,345.616883116883,650,837.5,-597.727272727273,Female,Ethiopia
EAA2118,9.01970166666667,38.6668016666667,Horro,328.571428571429,900,900,900,Male,Ethiopia
EAA2119,9.01936833333333,38.66635,Horro,331.868131868132,1008.51063829787,1125.53191489362,1242.55319148936,Male,Ethiopia
EAA2119,9.01936833333333,38.66635,Horro,211.282051282051,624.36170212766,953.085106382979,1412.06896551724,Female,Ethiopia
EAA2120,9.02007,38.6666816666667,Koekoek,683.333333333333,1176.19047619048,1961.90476190476,2747.61904761905,Male,Ethiopia
EAA2120,9.02007,38.6666816666667,Koekoek,761.538461538462,979.67032967033,1326.17382617383,1547.92207792208,Female,Ethiopia
